"","Wavelength","Reflectance"
"1",350,0.1986
"2",351,0.19278
"3",352,0.19256
"4",353,0.18722
"5",354,0.18033
"6",355,0.17784
"7",356,0.17651
"8",357,0.17517
"9",358,0.17081
"10",359,0.16733
"11",360,0.1656
"12",361,0.15947
"13",362,0.15428
"14",363,0.15394
"15",364,0.1501
"16",365,0.14548
"17",366,0.14506
"18",367,0.14265
"19",368,0.13833
"20",369,0.13382
"21",370,0.12934
"22",371,0.12506
"23",372,0.12068
"24",373,0.11698
"25",374,0.11449
"26",375,0.1144
"27",376,0.11391
"28",377,0.10986
"29",378,0.10763
"30",379,0.10711
"31",380,0.10707
"32",381,0.10824
"33",382,0.10953
"34",383,0.10565
"35",384,0.10136
"36",385,0.09802
"37",386,0.09519
"38",387,0.0924
"39",388,0.08939
"40",389,0.08729
"41",390,0.08512
"42",391,0.08181
"43",392,0.08022
"44",393,0.08005
"45",394,0.08109
"46",395,0.08171
"47",396,0.08152
"48",397,0.07942
"49",398,0.07938
"50",399,0.08139
"51",400,0.08123
"52",401,0.0814
"53",402,0.08246
"54",403,0.08306
"55",404,0.08316
"56",405,0.08266
"57",406,0.08245
"58",407,0.08414
"59",408,0.08899
"60",409,0.09358
"61",410,0.09547
"62",411,0.09112
"63",412,0.08707
"64",413,0.084
"65",414,0.08307
"66",415,0.08317
"67",416,0.08385
"68",417,0.08419
"69",418,0.08588
"70",419,0.08806
"71",420,0.08731
"72",421,0.08801
"73",422,0.09039
"74",423,0.09119
"75",424,0.0914
"76",425,0.09127
"77",426,0.09175
"78",427,0.0922
"79",428,0.0924
"80",429,0.09253
"81",430,0.09234
"82",431,0.09178
"83",432,0.09191
"84",433,0.09212
"85",434,0.09199
"86",435,0.09187
"87",436,0.09232
"88",437,0.09379
"89",438,0.09568
"90",439,0.09674
"91",440,0.09598
"92",441,0.0952
"93",442,0.09442
"94",443,0.09367
"95",444,0.09364
"96",445,0.09386
"97",446,0.09369
"98",447,0.09413
"99",448,0.09445
"100",449,0.09357
"101",450,0.09291
"102",451,0.09267
"103",452,0.09318
"104",453,0.09309
"105",454,0.0927
"106",455,0.09241
"107",456,0.09216
"108",457,0.09199
"109",458,0.092
"110",459,0.09179
