"","Wavelength","Reflectance"
"1",350,0.22187
"2",351,0.21152
"3",352,0.20577
"4",353,0.20294
"5",354,0.20044
"6",355,0.19361
"7",356,0.18441
"8",357,0.17532
"9",358,0.174
"10",359,0.1723
"11",360,0.16795
"12",361,0.16401
"13",362,0.16015
"14",363,0.1563
"15",364,0.15252
"16",365,0.14922
"17",366,0.14711
"18",367,0.14724
"19",368,0.1466
"20",369,0.1341
"21",370,0.12504
"22",371,0.12348
"23",372,0.11931
"24",373,0.11449
"25",374,0.10955
"26",375,0.10835
"27",376,0.10903
"28",377,0.11058
"29",378,0.10732
"30",379,0.10225
"31",380,0.10348
"32",381,0.10575
"33",382,0.10741
"34",383,0.10428
"35",384,0.10071
"36",385,0.09768
"37",386,0.09207
"38",387,0.08631
"39",388,0.0817
"40",389,0.07905
"41",390,0.077
"42",391,0.0742
"43",392,0.07237
"44",393,0.07156
"45",394,0.07236
"46",395,0.07102
"47",396,0.06873
"48",397,0.07059
"49",398,0.07099
"50",399,0.06979
"51",400,0.07182
"52",401,0.07306
"53",402,0.07267
"54",403,0.07504
"55",404,0.07618
"56",405,0.0739
"57",406,0.07468
"58",407,0.07673
"59",408,0.07888
"60",409,0.08424
"61",410,0.08743
"62",411,0.08087
"63",412,0.07621
"64",413,0.07328
"65",414,0.07173
"66",415,0.07201
"67",416,0.07328
"68",417,0.07346
"69",418,0.07489
"70",419,0.07707
"71",420,0.07794
"72",421,0.07887
"73",422,0.0801
"74",423,0.08151
"75",424,0.08227
"76",425,0.08218
"77",426,0.08213
"78",427,0.08228
"79",428,0.08273
"80",429,0.08338
"81",430,0.08362
"82",431,0.08326
"83",432,0.08332
"84",433,0.08359
"85",434,0.08397
"86",435,0.08484
"87",436,0.08599
"88",437,0.08729
"89",438,0.08899
"90",439,0.08986
"91",440,0.08897
"92",441,0.0884
"93",442,0.08779
"94",443,0.08681
"95",444,0.08698
"96",445,0.08756
"97",446,0.08761
"98",447,0.08743
"99",448,0.08724
"100",449,0.08734
"101",450,0.0875
"102",451,0.08749
"103",452,0.087
"104",453,0.08688
"105",454,0.08689
"106",455,0.08671
"107",456,0.08639
"108",457,0.08612
"109",458,0.08616
"110",459,0.08594
"111",460,0.08564
"112",461,0.08584
"113",462,0.0858
"114",463,0.0856
"115",464,0.08554
"116",465,0.08562
"117",466,0.0858
"118",467,0.08602
"119",468,0.08599
"120",469,0.08587
"121",470,0.086
"122",471,0.086
"123",472,0.08586
"124",473,0.08557
"125",474,0.08532
"126",475,0.08521
"127",476,0.08538
"128",477,0.08513
"129",478,0.08475
"130",479,0.08462
"131",480,0.08438
"132",481,0.08413
"133",482,0.08402
"134",483,0.08408
"135",484,0.08411
"136",485,0.08386
"137",486,0.08376
"138",487,0.08378
"139",488,0.08386
"140",489,0.08378
"141",490,0.08379
"142",491,0.0841
"143",492,0.08433
"144",493,0.0845
"145",494,0.0846
"146",495,0.08486
"147",496,0.08505
"148",497,0.08505
"149",498,0.08531
"150",499,0.08572
"151",500,0.08624
"152",501,0.08649
"153",502,0.08674
"154",503,0.08712
"155",504,0.08773
"156",505,0.08838
"157",506,0.08906
"158",507,0.0899
"159",508,0.09089
"160",509,0.09198
"161",510,0.09293
"162",511,0.09413
"163",512,0.09559
"164",513,0.0972
"165",514,0.09887
"166",515,0.1007
"167",516,0.103
"168",517,0.10525
"169",518,0.10747
"170",519,0.10973
"171",520,0.11238
"172",521,0.11518
"173",522,0.11786
"174",523,0.12051
"175",524,0.12324
"176",525,0.12614
"177",526,0.1289
"178",527,0.13144
"179",528,0.13376
"180",529,0.13637
"181",530,0.13878
"182",531,0.14087
"183",532,0.14258
"184",533,0.14431
"185",534,0.14605
"186",535,0.14751
"187",536,0.14893
"188",537,0.15023
"189",538,0.15124
"190",539,0.15206
"191",540,0.15283
"192",541,0.15373
"193",542,0.15442
"194",543,0.15505
"195",544,0.15571
"196",545,0.15621
"197",546,0.15673
"198",547,0.15732
"199",548,0.1579
"200",549,0.15847
"201",550,0.15898
"202",551,0.1594
"203",552,0.15963
"204",553,0.15967
"205",554,0.15957
"206",555,0.15915
"207",556,0.15858
"208",557,0.15801
"209",558,0.15712
"210",559,0.15612
"211",560,0.15513
"212",561,0.15398
"213",562,0.15277
"214",563,0.15151
"215",564,0.15005
"216",565,0.14842
"217",566,0.14674
"218",567,0.14521
"219",568,0.14329
"220",569,0.14131
"221",570,0.13958
"222",571,0.13759
"223",572,0.13556
"224",573,0.13362
"225",574,0.13188
"226",575,0.13017
"227",576,0.12847
"228",577,0.1269
"229",578,0.12547
"230",579,0.12412
"231",580,0.1227
"232",581,0.1214
"233",582,0.12027
"234",583,0.11928
"235",584,0.11824
"236",585,0.1173
"237",586,0.11648
"238",587,0.11571
"239",588,0.11494
"240",589,0.1142
"241",590,0.11357
"242",591,0.11307
