"","Wavelength","Reflectance"
"1",350,0.29416
"2",351,0.29284
"3",352,0.27845
"4",353,0.27686
"5",354,0.27871
"6",355,0.26748
"7",356,0.25888
"8",357,0.25428
"9",358,0.25458
"10",359,0.25486
"11",360,0.25336
"12",361,0.24888
"13",362,0.24427
"14",363,0.24173
"15",364,0.24026
"16",365,0.23987
"17",366,0.24155
"18",367,0.237
"19",368,0.22841
"20",369,0.2242
"21",370,0.22141
"22",371,0.21925
"23",372,0.2156
"24",373,0.20985
"25",374,0.20149
"26",375,0.20383
"27",376,0.20707
"28",377,0.20144
"29",378,0.20057
"30",379,0.20223
"31",380,0.19883
"32",381,0.19788
"33",382,0.19894
"34",383,0.19442
"35",384,0.19089
"36",385,0.18998
"37",386,0.18855
"38",387,0.18479
"39",388,0.17733
"40",389,0.17586
"41",390,0.17595
"42",391,0.17372
"43",392,0.17212
"44",393,0.17107
"45",394,0.17062
"46",395,0.1689
"47",396,0.16705
"48",397,0.16966
"49",398,0.17045
"50",399,0.16898
"51",400,0.1696
"52",401,0.17075
"53",402,0.17193
"54",403,0.1713
"55",404,0.17074
"56",405,0.17126
"57",406,0.17193
"58",407,0.17251
"59",408,0.17277
"60",409,0.17408
"61",410,0.17513
"62",411,0.17425
"63",412,0.17014
"64",413,0.16567
"65",414,0.16604
"66",415,0.16674
"67",416,0.16724
"68",417,0.16726
"69",418,0.16799
"70",419,0.16923
"71",420,0.17018
"72",421,0.17083
"73",422,0.17126
"74",423,0.17212
"75",424,0.17224
"76",425,0.17142
"77",426,0.17147
"78",427,0.17174
"79",428,0.17198
"80",429,0.17195
"81",430,0.1719
"82",431,0.17194
"83",432,0.17203
"84",433,0.17213
"85",434,0.17217
"86",435,0.17237
"87",436,0.17305
"88",437,0.17445
"89",438,0.17566
"90",439,0.17612
"91",440,0.17537
"92",441,0.1748
"93",442,0.17437
"94",443,0.17409
"95",444,0.17419
"96",445,0.17445
"97",446,0.17464
"98",447,0.17399
"99",448,0.17332
"100",449,0.1738
"101",450,0.17359
"102",451,0.17311
"103",452,0.17294
"104",453,0.17274
"105",454,0.17248
"106",455,0.17217
"107",456,0.17196
"108",457,0.17193
"109",458,0.17219
"110",459,0.17195
"111",460,0.17148
"112",461,0.1716
"113",462,0.17147
"114",463,0.17117
"115",464,0.17096
"116",465,0.17109
"117",466,0.1714
"118",467,0.17154
"119",468,0.17131
"120",469,0.17092
"121",470,0.17077
"122",471,0.17089
"123",472,0.1709
"124",473,0.17029
"125",474,0.17019
"126",475,0.17019
"127",476,0.16965
"128",477,0.16961
"129",478,0.16968
"130",479,0.16926
"131",480,0.16916
"132",481,0.16916
"133",482,0.1689
"134",483,0.16884
"135",484,0.16878
"136",485,0.16847
"137",486,0.16847
"138",487,0.16864
"139",488,0.16877
"140",489,0.16875
"141",490,0.16875
"142",491,0.16891
"143",492,0.16904
"144",493,0.16911
"145",494,0.16906
"146",495,0.16927
"147",496,0.1694
"148",497,0.16928
"149",498,0.16927
"150",499,0.16941
"151",500,0.1697
"152",501,0.16994
"153",502,0.17009
"154",503,0.17015
"155",504,0.17071
"156",505,0.17122
"157",506,0.17159
"158",507,0.17202
"159",508,0.1725
"160",509,0.17307
"161",510,0.17378
"162",511,0.17468
"163",512,0.17571
"164",513,0.1767
"165",514,0.17765
"166",515,0.17872
"167",516,0.18036
"168",517,0.18175
"169",518,0.18311
"170",519,0.18474
"171",520,0.1866
"172",521,0.18851
"173",522,0.1903
"174",523,0.19207
"175",524,0.19394
"176",525,0.19601
"177",526,0.19768
"178",527,0.1993
"179",528,0.20102
"180",529,0.20286
"181",530,0.20444
"182",531,0.20568
"183",532,0.20666
"184",533,0.20779
"185",534,0.20902
"186",535,0.20992
"187",536,0.21063
"188",537,0.21125
"189",538,0.21187
"190",539,0.21237
"191",540,0.21278
"192",541,0.21314
"193",542,0.21356
"194",543,0.21394
"195",544,0.21421
"196",545,0.21458
"197",546,0.21485
"198",547,0.21499
"199",548,0.21532
"200",549,0.21567
"201",550,0.21593
"202",551,0.21597
"203",552,0.21592
"204",553,0.21581
"205",554,0.21566
"206",555,0.21533
"207",556,0.21487
"208",557,0.21435
"209",558,0.21375
"210",559,0.21307
"211",560,0.2123
"212",561,0.21135
"213",562,0.21036
"214",563,0.20938
"215",564,0.20835
"216",565,0.2072
"217",566,0.20594
"218",567,0.20465
"219",568,0.20332
"220",569,0.20193
"221",570,0.20047
"222",571,0.19898
"223",572,0.19756
"224",573,0.19624
"225",574,0.19504
"226",575,0.19374
"227",576,0.1924
"228",577,0.19129
"229",578,0.19025
"230",579,0.18926
"231",580,0.18825
"232",581,0.1873
"233",582,0.18645
"234",583,0.1857
"235",584,0.18495
"236",585,0.18425
"237",586,0.18363
"238",587,0.18304
"239",588,0.18244
"240",589,0.18187
"241",590,0.18141
"242",591,0.18107
"243",592,0.18075
"244",593,0.18038
"245",594,0.18004
"246",595,0.17975
"247",596,0.1795
"248",597,0.17924
"249",598,0.17887
"250",599,0.17847
"251",600,0.1782
"252",601,0.17793
"253",602,0.1776
"254",603,0.17719
"255",604,0.17686
"256",605,0.17643
"257",606,0.17594
"258",607,0.17556
"259",608,0.17505
"260",609,0.17446
"261",610,0.17387
"262",611,0.17333
"263",612,0.17267
"264",613,0.17193
"265",614,0.17137
"266",615,0.17072
"267",616,0.17006
"268",617,0.1695
"269",618,0.16901
"270",619,0.16852
"271",620,0.168
"272",621,0.16764
"273",622,0.16731
"274",623,0.167
"275",624,0.16673
"276",625,0.16647
"277",626,0.16625
"278",627,0.16606
"279",628,0.16588
"280",629,0.16578
"281",630,0.1657
"282",631,0.16556
"283",632,0.16535
"284",633,0.16516
"285",634,0.16502
"286",635,0.16471
"287",636,0.16435
"288",637,0.16398
"289",638,0.16357
"290",639,0.16312
"291",640,0.16264
"292",641,0.16216
"293",642,0.16176
"294",643,0.16127
"295",644,0.1607
"296",645,0.16013
"297",646,0.15973
"298",647,0.15932
"299",648,0.15887
"300",649,0.15845
"301",650,0.15812
"302",651,0.1578
"303",652,0.15742
"304",653,0.15709
"305",654,0.15682
"306",655,0.15655
"307",656,0.15621
"308",657,0.15581
"309",658,0.15551
"310",659,0.15534
"311",660,0.15496
"312",661,0.15465
"313",662,0.15439
"314",663,0.15412
"315",664,0.15385
"316",665,0.15366
"317",666,0.15354
"318",667,0.15342
"319",668,0.15327
"320",669,0.15311
"321",670,0.153
"322",671,0.15301
"323",672,0.153
"324",673,0.15298
"325",674,0.15299
"326",675,0.15304
"327",676,0.1532
"328",677,0.15338
"329",678,0.15343
"330",679,0.15362
"331",680,0.15388
"332",681,0.15417
"333",682,0.15445
"334",683,0.15471
"335",684,0.15504
"336",685,0.15546
"337",686,0.15592
"338",687,0.1565
"339",688,0.15721
"340",689,0.15812
"341",690,0.15924
"342",691,0.16085
"343",692,0.16281
"344",693,0.16504
"345",694,0.16805
"346",695,0.17134
"347",696,0.17516
"348",697,0.17979
"349",698,0.18449
"350",699,0.18985
"351",700,0.19583
"352",701,0.20211
"353",702,0.20811
"354",703,0.21472
"355",704,0.22149
"356",705,0.22776
"357",706,0.23476
"358",707,0.24202
"359",708,0.24911
"360",709,0.25575
"361",710,0.263
"362",711,0.27045
"363",712,0.27798
"364",713,0.28558
"365",714,0.29282
"366",715,0.3004
"367",716,0.30829
"368",717,0.3162
"369",718,0.32355
"370",719,0.33135
"371",720,0.33934
"372",721,0.34703
"373",722,0.35506
"374",723,0.36314
"375",724,0.37103
"376",725,0.3785
"377",726,0.38526
"378",727,0.39228
"379",728,0.39944
"380",729,0.4065
"381",730,0.41326
"382",731,0.41956
"383",732,0.42553
"384",733,0.43133
"385",734,0.4371
"386",735,0.44238
"387",736,0.44723
"388",737,0.45179
"389",738,0.45621
"390",739,0.46046
"391",740,0.46426
"392",741,0.46779
"393",742,0.47117
"394",743,0.47424
"395",744,0.47704
"396",745,0.47965
"397",746,0.4821
"398",747,0.48437
"399",748,0.4863
"400",749,0.48812
"401",750,0.48978
"402",751,0.49119
"403",752,0.49257
"404",753,0.4939
"405",754,0.49517
"406",755,0.49628
"407",756,0.49707
"408",757,0.49786
"409",758,0.49851
"410",759,0.49914
"411",760,0.49986
"412",761,0.50032
"413",762,0.50076
"414",763,0.50103
"415",764,0.50115
"416",765,0.50136
"417",766,0.50145
"418",767,0.50155
"419",768,0.50169
"420",769,0.50184
"421",770,0.50183
"422",771,0.50185
"423",772,0.50186
"424",773,0.50191
"425",774,0.502
"426",775,0.50198
"427",776,0.50178
"428",777,0.50171
"429",778,0.50176
"430",779,0.50166
"431",780,0.50149
"432",781,0.50145
"433",782,0.50127
"434",783,0.50109
"435",784,0.50124
"436",785,0.50118
"437",786,0.50108
"438",787,0.50094
"439",788,0.50083
"440",789,0.50087
"441",790,0.50081
"442",791,0.50069
"443",792,0.50053
"444",793,0.50038
"445",794,0.50024
"446",795,0.50018
"447",796,0.50005
"448",797,0.50002
"449",798,0.49999
"450",799,0.49982
"451",800,0.49954
"452",801,0.49941
"453",802,0.49953
"454",803,0.49953
"455",804,0.4993
"456",805,0.4993
"457",806,0.49909
"458",807,0.49904
"459",808,0.49896
"460",809,0.49876
"461",810,0.49854
"462",811,0.49863
"463",812,0.49844
"464",813,0.49836
"465",814,0.49835
"466",815,0.49829
"467",816,0.49816
"468",817,0.49792
"469",818,0.49782
"470",819,0.49779
"471",820,0.49767
"472",821,0.49748
"473",822,0.4976
"474",823,0.49748
"475",824,0.49721
"476",825,0.49693
"477",826,0.49691
"478",827,0.49712
"479",828,0.49686
"480",829,0.4966
"481",830,0.49648
"482",831,0.49644
"483",832,0.49647
"484",833,0.49646
"485",834,0.49613
"486",835,0.49602
"487",836,0.496
"488",837,0.49578
"489",838,0.49565
"490",839,0.49557
"491",840,0.49524
"492",841,0.49517
"493",842,0.49516
"494",843,0.49524
"495",844,0.49509
"496",845,0.49485
"497",846,0.49474
"498",847,0.49463
"499",848,0.49445
"500",849,0.49432
"501",850,0.49431
"502",851,0.49427
"503",852,0.49426
"504",853,0.49429
"505",854,0.49425
"506",855,0.49414
"507",856,0.49395
"508",857,0.49371
"509",858,0.49359
"510",859,0.4934
"511",860,0.49316
"512",861,0.4931
"513",862,0.49302
"514",863,0.49287
"515",864,0.49274
"516",865,0.49259
"517",866,0.49251
"518",867,0.49242
"519",868,0.49234
"520",869,0.49233
"521",870,0.49193
"522",871,0.49176
"523",872,0.49186
"524",873,0.49162
"525",874,0.49159
"526",875,0.49166
"527",876,0.49145
"528",877,0.49106
"529",878,0.49088
"530",879,0.49103
"531",880,0.49067
"532",881,0.49036
"533",882,0.49036
"534",883,0.49018
"535",884,0.48997
"536",885,0.48994
"537",886,0.48988
"538",887,0.48968
"539",888,0.48962
"540",889,0.48969
"541",890,0.4894
"542",891,0.48917
"543",892,0.48888
"544",893,0.48868
"545",894,0.48862
"546",895,0.48851
"547",896,0.48841
"548",897,0.48851
"549",898,0.48857
"550",899,0.48822
"551",900,0.48791
"552",901,0.48806
"553",902,0.48732
"554",903,0.48717
"555",904,0.48727
"556",905,0.48709
"557",906,0.48681
"558",907,0.48682
"559",908,0.48675
"560",909,0.48641
"561",910,0.48638
"562",911,0.48621
"563",912,0.486
"564",913,0.48583
"565",914,0.48569
"566",915,0.48571
"567",916,0.48536
"568",917,0.4856
"569",918,0.48533
"570",919,0.48512
"571",920,0.4852
"572",921,0.4849
"573",922,0.48449
"574",923,0.48424
"575",924,0.48401
"576",925,0.484
"577",926,0.48403
"578",927,0.48365
"579",928,0.48329
"580",929,0.48284
"581",930,0.48289
"582",931,0.48307
"583",932,0.48258
"584",933,0.48219
"585",934,0.48183
"586",935,0.48142
"587",936,0.48197
"588",937,0.48117
"589",938,0.48085
"590",939,0.48083
"591",940,0.4801
"592",941,0.47999
"593",942,0.48018
"594",943,0.47977
"595",944,0.47948
"596",945,0.47898
"597",946,0.47865
"598",947,0.47811
"599",948,0.47785
"600",949,0.4774
"601",950,0.47685
"602",951,0.47665
"603",952,0.4764
"604",953,0.4758
"605",954,0.47555
"606",955,0.47526
"607",956,0.47414
"608",957,0.47392
"609",958,0.47344
"610",959,0.47284
"611",960,0.47254
"612",961,0.47228
"613",962,0.47238
"614",963,0.47252
"615",964,0.47188
"616",965,0.47124
"617",966,0.4717
"618",967,0.47065
"619",968,0.47131
"620",969,0.47099
"621",970,0.47101
"622",971,0.47008
"623",972,0.47008
"624",973,0.46979
"625",974,0.47028
"626",975,0.46964
"627",976,0.46976
"628",977,0.47002
"629",978,0.47004
"630",979,0.46948
"631",980,0.46957
"632",981,0.46884
"633",982,0.4683
"634",983,0.46873
"635",984,0.46858
"636",985,0.46786
"637",986,0.46781
"638",987,0.46786
"639",988,0.46841
"640",989,0.46917
"641",990,0.47017
"642",991,0.47106
"643",992,0.47253
"644",993,0.47394
"645",994,0.47552
"646",995,0.4772
"647",996,0.47844
"648",997,0.47986
"649",998,0.48062
"650",999,0.48152
"651",1000,0.48241
"652",1001,0.48332
"653",1002,0.48398
"654",1003,0.48457
"655",1004,0.48511
"656",1005,0.48567
"657",1006,0.48628
"658",1007,0.48692
"659",1008,0.48754
"660",1009,0.48809
"661",1010,0.48856
"662",1011,0.48898
"663",1012,0.48935
"664",1013,0.48969
"665",1014,0.48999
"666",1015,0.49025
"667",1016,0.49047
"668",1017,0.49065
"669",1018,0.49076
"670",1019,0.49083
"671",1020,0.49087
"672",1021,0.49092
"673",1022,0.49099
"674",1023,0.49105
"675",1024,0.4911
"676",1025,0.49114
"677",1026,0.49116
"678",1027,0.49116
"679",1028,0.49117
"680",1029,0.49122
"681",1030,0.4913
"682",1031,0.49141
"683",1032,0.49152
"684",1033,0.49163
"685",1034,0.49176
"686",1035,0.49189
"687",1036,0.492
"688",1037,0.49207
"689",1038,0.4921
"690",1039,0.49211
"691",1040,0.4921
"692",1041,0.49208
"693",1042,0.49203
"694",1043,0.49197
"695",1044,0.49192
"696",1045,0.49193
"697",1046,0.492
"698",1047,0.49209
"699",1048,0.49217
"700",1049,0.49222
"701",1050,0.49224
"702",1051,0.49226
"703",1052,0.49227
"704",1053,0.49227
"705",1054,0.49227
"706",1055,0.49225
"707",1056,0.49222
"708",1057,0.49216
"709",1058,0.49206
"710",1059,0.49195
"711",1060,0.49184
"712",1061,0.49172
"713",1062,0.49158
"714",1063,0.49144
"715",1064,0.49132
"716",1065,0.49124
"717",1066,0.49118
"718",1067,0.49114
"719",1068,0.49108
"720",1069,0.49101
"721",1070,0.49094
"722",1071,0.49087
"723",1072,0.49082
"724",1073,0.4908
"725",1074,0.49082
"726",1075,0.49083
"727",1076,0.49082
"728",1077,0.49076
"729",1078,0.49068
"730",1079,0.49058
"731",1080,0.49047
"732",1081,0.49032
"733",1082,0.49015
"734",1083,0.48999
"735",1084,0.48986
"736",1085,0.48978
"737",1086,0.48972
"738",1087,0.48966
"739",1088,0.48959
"740",1089,0.48953
"741",1090,0.48947
"742",1091,0.48938
"743",1092,0.48924
"744",1093,0.48904
"745",1094,0.48881
"746",1095,0.48858
"747",1096,0.48836
"748",1097,0.48816
"749",1098,0.48796
"750",1099,0.48776
"751",1100,0.48756
"752",1101,0.48737
"753",1102,0.48718
"754",1103,0.48698
"755",1104,0.48677
"756",1105,0.48652
"757",1106,0.48629
"758",1107,0.48612
"759",1108,0.48606
"760",1109,0.48611
"761",1110,0.4862
"762",1111,0.48624
"763",1112,0.4862
"764",1113,0.48613
"765",1114,0.48602
"766",1115,0.48582
"767",1116,0.48551
"768",1117,0.48507
"769",1118,0.4846
"770",1119,0.48419
"771",1120,0.48388
"772",1121,0.48363
"773",1122,0.48341
"774",1123,0.48319
"775",1124,0.483
"776",1125,0.48284
"777",1126,0.48265
"778",1127,0.48239
"779",1128,0.48205
"780",1129,0.48166
"781",1130,0.48122
"782",1131,0.48075
"783",1132,0.48026
"784",1133,0.47973
"785",1134,0.47916
"786",1135,0.47855
"787",1136,0.47788
"788",1137,0.47718
"789",1138,0.47645
"790",1139,0.4757
"791",1140,0.47493
"792",1141,0.47414
"793",1142,0.47335
"794",1143,0.47257
"795",1144,0.47181
"796",1145,0.47105
"797",1146,0.47029
"798",1147,0.46951
"799",1148,0.46871
"800",1149,0.46791
"801",1150,0.46715
"802",1151,0.46645
"803",1152,0.46578
"804",1153,0.46515
"805",1154,0.46455
"806",1155,0.46399
"807",1156,0.46348
"808",1157,0.46298
"809",1158,0.46249
"810",1159,0.46199
"811",1160,0.46149
"812",1161,0.46101
"813",1162,0.46056
"814",1163,0.46016
"815",1164,0.45978
"816",1165,0.45944
"817",1166,0.45913
"818",1167,0.45885
"819",1168,0.4586
"820",1169,0.45837
"821",1170,0.45815
"822",1171,0.45793
"823",1172,0.45773
"824",1173,0.45753
"825",1174,0.45734
"826",1175,0.45716
"827",1176,0.45699
"828",1177,0.45681
"829",1178,0.45662
"830",1179,0.4564
"831",1180,0.45617
"832",1181,0.45595
"833",1182,0.45575
"834",1183,0.45555
"835",1184,0.45536
"836",1185,0.45517
"837",1186,0.45499
"838",1187,0.45481
"839",1188,0.45465
"840",1189,0.45449
"841",1190,0.45436
"842",1191,0.45424
"843",1192,0.45412
"844",1193,0.454
"845",1194,0.45386
"846",1195,0.45371
"847",1196,0.45357
"848",1197,0.45345
"849",1198,0.45334
"850",1199,0.45326
"851",1200,0.45318
"852",1201,0.4531
"853",1202,0.45303
"854",1203,0.45296
"855",1204,0.45291
"856",1205,0.45288
"857",1206,0.45286
"858",1207,0.45285
"859",1208,0.45286
"860",1209,0.45289
"861",1210,0.45294
"862",1211,0.453
"863",1212,0.45307
"864",1213,0.45313
"865",1214,0.4532
"866",1215,0.45326
"867",1216,0.45332
"868",1217,0.45338
"869",1218,0.45343
"870",1219,0.45346
"871",1220,0.45349
"872",1221,0.45348
"873",1222,0.45346
"874",1223,0.45343
"875",1224,0.45343
"876",1225,0.45346
"877",1226,0.4535
"878",1227,0.45354
"879",1228,0.45357
"880",1229,0.45361
"881",1230,0.45364
"882",1231,0.45367
"883",1232,0.45371
"884",1233,0.45373
"885",1234,0.45376
"886",1235,0.45381
"887",1236,0.45389
"888",1237,0.45401
"889",1238,0.45415
"890",1239,0.45427
"891",1240,0.45436
"892",1241,0.45444
"893",1242,0.4545
"894",1243,0.45455
"895",1244,0.4546
"896",1245,0.45464
"897",1246,0.45468
"898",1247,0.45471
"899",1248,0.45475
"900",1249,0.45478
"901",1250,0.45481
"902",1251,0.45484
"903",1252,0.45486
