"","Wavelength","Reflectance"
"1",350,0.23112
"2",351,0.23069
"3",352,0.22314
"4",353,0.21608
"5",354,0.20788
"6",355,0.19436
"7",356,0.18923
"8",357,0.1906
"9",358,0.19056
"10",359,0.18713
"11",360,0.17967
"12",361,0.17748
"13",362,0.17607
"14",363,0.1724
"15",364,0.17088
"16",365,0.16895
"17",366,0.16128
"18",367,0.15757
"19",368,0.1565
"20",369,0.15225
"21",370,0.14375
"22",371,0.13154
"23",372,0.12966
"24",373,0.12897
"25",374,0.12499
"26",375,0.12095
"27",376,0.11867
"28",377,0.12059
"29",378,0.1209
"30",379,0.11981
"31",380,0.11844
"32",381,0.11945
"33",382,0.12186
"34",383,0.11893
"35",384,0.11534
"36",385,0.11209
"37",386,0.10613
"38",387,0.10027
"39",388,0.09606
"40",389,0.09236
"41",390,0.08967
"42",391,0.0887
"43",392,0.08726
"44",393,0.08557
"45",394,0.08376
"46",395,0.08431
"47",396,0.08635
"48",397,0.08664
"49",398,0.08697
"50",399,0.08749
"51",400,0.08711
"52",401,0.08827
"53",402,0.0913
"54",403,0.09084
"55",404,0.09053
"56",405,0.0922
"57",406,0.09308
"58",407,0.09501
"59",408,0.0993
"60",409,0.10356
"61",410,0.10516
"62",411,0.10034
"63",412,0.09583
"64",413,0.09254
"65",414,0.09217
"66",415,0.09233
"67",416,0.0927
"68",417,0.09311
"69",418,0.09403
"70",419,0.0953
"71",420,0.09647
"72",421,0.09761
"73",422,0.09857
"74",423,0.09878
"75",424,0.09911
"76",425,0.09981
"77",426,0.10022
"78",427,0.10015
"79",428,0.09963
"80",429,0.09978
"81",430,0.09985
"82",431,0.09961
"83",432,0.09954
"84",433,0.09959
"85",434,0.09974
"86",435,0.10035
"87",436,0.10158
"88",437,0.10352
"89",438,0.10431
"90",439,0.10406
"91",440,0.10281
"92",441,0.10207
"93",442,0.10175
"94",443,0.10198
"95",444,0.10164
"96",445,0.10128
"97",446,0.1017
"98",447,0.10142
"99",448,0.10097
"100",449,0.10104
"101",450,0.10165
"102",451,0.10216
"103",452,0.10165
"104",453,0.10161
"105",454,0.10165
"106",455,0.10115
"107",456,0.10088
"108",457,0.10074
"109",458,0.10064
"110",459,0.10056
"111",460,0.10048
"112",461,0.10041
"113",462,0.10035
"114",463,0.10026
"115",464,0.09991
"116",465,0.0999
"117",466,0.10017
"118",467,0.10048
"119",468,0.10062
"120",469,0.10066
"121",470,0.10073
"122",471,0.10069
"123",472,0.10053
"124",473,0.1002
"125",474,0.09996
"126",475,0.09984
"127",476,0.09985
"128",477,0.09985
"129",478,0.09979
"130",479,0.09968
"131",480,0.09953
"132",481,0.09941
"133",482,0.09939
"134",483,0.09936
"135",484,0.09928
"136",485,0.09909
"137",486,0.09906
"138",487,0.09911
"139",488,0.09914
"140",489,0.09934
"141",490,0.09951
"142",491,0.09949
"143",492,0.0998
"144",493,0.1001
"145",494,0.10018
"146",495,0.10026
"147",496,0.10043
"148",497,0.10074
"149",498,0.10101
"150",499,0.10132
"151",500,0.10169
"152",501,0.10214
"153",502,0.10271
"154",503,0.1034
"155",504,0.10417
"156",505,0.10483
"157",506,0.10544
"158",507,0.10658
"159",508,0.10756
"160",509,0.10841
"161",510,0.10988
"162",511,0.11135
"163",512,0.11278
"164",513,0.11421
"165",514,0.11605
"166",515,0.11821
"167",516,0.12044
"168",517,0.12273
"169",518,0.12509
"170",519,0.1275
"171",520,0.13036
"172",521,0.13333
"173",522,0.13605
"174",523,0.13872
"175",524,0.14158
"176",525,0.14479
"177",526,0.14773
"178",527,0.1505
"179",528,0.15316
"180",529,0.15596
"181",530,0.15852
"182",531,0.16078
"183",532,0.16301
"184",533,0.16505
"185",534,0.16686
"186",535,0.16843
"187",536,0.17001
"188",537,0.17151
"189",538,0.17276
"190",539,0.17393
"191",540,0.17502
"192",541,0.17603
"193",542,0.1768
"194",543,0.17757
"195",544,0.17852
"196",545,0.1793
"197",546,0.18009
"198",547,0.18092
"199",548,0.18156
"200",549,0.18221
"201",550,0.18286
"202",551,0.18332
"203",552,0.18368
"204",553,0.18387
"205",554,0.18384
"206",555,0.18371
"207",556,0.18341
"208",557,0.18287
"209",558,0.1822
"210",559,0.18143
"211",560,0.18057
"212",561,0.17946
"213",562,0.17825
"214",563,0.17695
"215",564,0.17547
"216",565,0.17392
"217",566,0.17228
"218",567,0.17048
"219",568,0.16859
"220",569,0.16668
"221",570,0.16481
"222",571,0.16265
"223",572,0.16052
"224",573,0.15858
"225",574,0.15679
"226",575,0.15493
"227",576,0.15308
"228",577,0.15164
"229",578,0.15013
"230",579,0.14861
"231",580,0.14726
"232",581,0.14588
"233",582,0.14465
"234",583,0.14364
"235",584,0.14253
"236",585,0.14147
"237",586,0.1405
"238",587,0.13957
"239",588,0.13867
"240",589,0.13788
"241",590,0.13733
"242",591,0.13678
"243",592,0.13628
"244",593,0.13586
"245",594,0.13537
"246",595,0.13489
"247",596,0.13446
"248",597,0.1341
"249",598,0.13366
"250",599,0.13316
"251",600,0.13268
"252",601,0.13236
"253",602,0.13197
"254",603,0.1314
"255",604,0.13078
"256",605,0.13017
"257",606,0.12953
"258",607,0.12873
"259",608,0.12787
"260",609,0.12697
"261",610,0.12606
"262",611,0.12507
"263",612,0.12406
"264",613,0.12304
"265",614,0.12206
"266",615,0.1211
"267",616,0.1202
"268",617,0.11943
"269",618,0.11868
"270",619,0.11801
"271",620,0.11742
"272",621,0.11685
"273",622,0.1164
"274",623,0.11602
"275",624,0.11564
"276",625,0.11541
"277",626,0.11524
"278",627,0.11511
"279",628,0.11514
"280",629,0.11513
"281",630,0.11504
"282",631,0.11486
"283",632,0.11458
"284",633,0.11424
"285",634,0.11387
"286",635,0.1135
"287",636,0.11295
"288",637,0.11229
"289",638,0.1117
"290",639,0.11086
"291",640,0.10997
"292",641,0.10911
"293",642,0.10814
"294",643,0.10704
"295",644,0.10595
"296",645,0.10504
"297",646,0.10412
"298",647,0.10323
"299",648,0.1024
"300",649,0.10176
"301",650,0.10121
"302",651,0.10069
"303",652,0.10017
"304",653,0.09974
"305",654,0.09925
"306",655,0.09871
"307",656,0.09819
"308",657,0.09761
"309",658,0.09697
"310",659,0.09629
"311",660,0.09556
"312",661,0.09482
"313",662,0.0941
"314",663,0.09346
"315",664,0.09272
"316",665,0.09213
"317",666,0.09166
"318",667,0.09115
"319",668,0.09079
"320",669,0.09052
"321",670,0.09031
"322",671,0.09014
"323",672,0.09002
"324",673,0.08991
"325",674,0.08982
"326",675,0.08999
"327",676,0.09009
"328",677,0.09019
"329",678,0.09046
"330",679,0.0908
"331",680,0.0912
"332",681,0.0917
"333",682,0.09236
"334",683,0.09322
"335",684,0.09421
"336",685,0.09536
"337",686,0.09683
"338",687,0.09859
"339",688,0.10078
"340",689,0.10347
"341",690,0.10644
"342",691,0.11017
"343",692,0.11445
"344",693,0.11913
"345",694,0.12475
"346",695,0.13067
"347",696,0.13718
"348",697,0.14463
"349",698,0.15202
"350",699,0.16023
"351",700,0.1691
"352",701,0.17812
"353",702,0.18676
"354",703,0.19586
"355",704,0.20504
"356",705,0.21374
"357",706,0.22317
"358",707,0.23271
"359",708,0.24193
"360",709,0.25062
"361",710,0.26008
"362",711,0.26962
"363",712,0.2791
"364",713,0.28849
"365",714,0.29738
"366",715,0.30665
"367",716,0.31621
"368",717,0.32565
"369",718,0.33457
"370",719,0.34379
"371",720,0.35322
"372",721,0.36253
"373",722,0.3718
"374",723,0.38102
"375",724,0.39005
"376",725,0.39866
"377",726,0.40649
"378",727,0.41467
"379",728,0.42283
"380",729,0.43058
"381",730,0.43784
"382",731,0.44499
"383",732,0.45191
"384",733,0.4585
"385",734,0.46472
"386",735,0.47043
"387",736,0.47598
"388",737,0.48125
"389",738,0.48607
"390",739,0.49073
"391",740,0.49495
"392",741,0.49881
"393",742,0.50243
"394",743,0.50596
"395",744,0.50912
"396",745,0.51209
"397",746,0.51492
"398",747,0.51751
"399",748,0.51982
"400",749,0.52191
"401",750,0.52385
"402",751,0.52571
"403",752,0.52735
"404",753,0.52873
"405",754,0.5301
"406",755,0.53146
"407",756,0.53233
"408",757,0.5333
"409",758,0.53408
"410",759,0.53475
"411",760,0.53547
