"","Wavelength","Reflectance"
"1",350,0.25379
"2",351,0.24865
"3",352,0.23896
"4",353,0.23133
"5",354,0.22434
"6",355,0.21528
"7",356,0.20853
"8",357,0.20472
"9",358,0.20668
"10",359,0.20242
"11",360,0.18887
"12",361,0.18324
"13",362,0.18164
"14",363,0.1819
"15",364,0.18121
"16",365,0.17904
"17",366,0.17438
"18",367,0.16559
"19",368,0.15571
"20",369,0.15488
"21",370,0.15292
"22",371,0.14705
"23",372,0.14094
"24",373,0.13602
"25",374,0.13351
"26",375,0.13343
"27",376,0.13319
"28",377,0.1299
"29",378,0.1277
"30",379,0.12714
"31",380,0.12939
"32",381,0.12921
"33",382,0.12656
"34",383,0.12614
"35",384,0.12284
"36",385,0.11584
"37",386,0.11438
"38",387,0.11205
"39",388,0.10559
"40",389,0.10356
"41",390,0.10288
"42",391,0.10094
"43",392,0.09998
"44",393,0.09975
"45",394,0.0999
"46",395,0.10048
"47",396,0.10139
"48",397,0.10259
"49",398,0.10313
"50",399,0.1034
"51",400,0.10612
"52",401,0.10881
"53",402,0.11068
"54",403,0.11157
"55",404,0.11119
"56",405,0.10935
"57",406,0.111
"58",407,0.11467
"59",408,0.11943
"60",409,0.12391
"61",410,0.12509
"62",411,0.11853
"63",412,0.11454
"64",413,0.11254
"65",414,0.11168
"66",415,0.11123
"67",416,0.11122
"68",417,0.11201
"69",418,0.11313
"70",419,0.11431
"71",420,0.11505
"72",421,0.11512
"73",422,0.11485
"74",423,0.11604
"75",424,0.11668
"76",425,0.11623
"77",426,0.11607
"78",427,0.11549
"79",428,0.11437
"80",429,0.1142
"81",430,0.11416
"82",431,0.11396
"83",432,0.11382
"84",433,0.11355
"85",434,0.113
"86",435,0.11336
"87",436,0.11462
"88",437,0.11678
"89",438,0.11781
"90",439,0.11757
"91",440,0.11594
"92",441,0.11478
"93",442,0.1141
"94",443,0.11407
"95",444,0.11432
"96",445,0.11455
"97",446,0.11433
"98",447,0.11468
"99",448,0.115
"100",449,0.11442
"101",450,0.1147
"102",451,0.11511
"103",452,0.11465
"104",453,0.11448
"105",454,0.11445
"106",455,0.11435
"107",456,0.11398
"108",457,0.11363
"109",458,0.1137
"110",459,0.11386
"111",460,0.11399
"112",461,0.11387
"113",462,0.11367
"114",463,0.1135
"115",464,0.11357
"116",465,0.11359
"117",466,0.11359
"118",467,0.11374
"119",468,0.1139
"120",469,0.11396
"121",470,0.11377
"122",471,0.11376
"123",472,0.11372
"124",473,0.11339
"125",474,0.11326
"126",475,0.11325
"127",476,0.11325
"128",477,0.11304
"129",478,0.11286
"130",479,0.11305
"131",480,0.11315
"132",481,0.11315
"133",482,0.113
"134",483,0.1129
"135",484,0.11289
"136",485,0.11296
"137",486,0.11307
"138",487,0.11321
"139",488,0.11338
"140",489,0.11342
"141",490,0.11366
"142",491,0.11434
"143",492,0.11454
"144",493,0.1148
"145",494,0.11548
"146",495,0.11597
"147",496,0.11636
"148",497,0.11674
"149",498,0.11729
"150",499,0.11806
"151",500,0.11904
"152",501,0.11994
"153",502,0.12092
"154",503,0.12205
"155",504,0.12335
"156",505,0.12483
"157",506,0.12647
"158",507,0.12818
"159",508,0.12999
"160",509,0.13199
"161",510,0.13458
"162",511,0.13715
"163",512,0.13973
"164",513,0.14264
"165",514,0.14579
"166",515,0.14919
"167",516,0.15293
"168",517,0.15671
"169",518,0.16058
"170",519,0.16461
"171",520,0.16906
"172",521,0.17359
"173",522,0.17784
"174",523,0.18202
"175",524,0.18626
"176",525,0.19063
"177",526,0.1947
"178",527,0.1986
"179",528,0.20236
"180",529,0.20605
"181",530,0.20941
"182",531,0.21242
"183",532,0.21522
"184",533,0.2177
"185",534,0.21989
"186",535,0.22193
"187",536,0.22397
"188",537,0.22583
"189",538,0.22721
"190",539,0.22845
"191",540,0.22963
"192",541,0.23084
"193",542,0.23193
"194",543,0.233
"195",544,0.23412
"196",545,0.23506
"197",546,0.23591
"198",547,0.23671
"199",548,0.23756
"200",549,0.23829
"201",550,0.23889
"202",551,0.23949
"203",552,0.23988
"204",553,0.24008
"205",554,0.24016
"206",555,0.23991
"207",556,0.23944
"208",557,0.23889
"209",558,0.23797
"210",559,0.2369
"211",560,0.23578
"212",561,0.23433
"213",562,0.23276
"214",563,0.2311
"215",564,0.22917
"216",565,0.22703
"217",566,0.22476
"218",567,0.22249
"219",568,0.21994
"220",569,0.21728
"221",570,0.21468
"222",571,0.21185
"223",572,0.20903
"224",573,0.20637
"225",574,0.20399
"226",575,0.20153
"227",576,0.19905
"228",577,0.19697
"229",578,0.1949
"230",579,0.19284
"231",580,0.19088
"232",581,0.18903
"233",582,0.1873
"234",583,0.18571
"235",584,0.1842
"236",585,0.18279
"237",586,0.18145
"238",587,0.18023
"239",588,0.17904
"240",589,0.1779
"241",590,0.17689
"242",591,0.17597
"243",592,0.17512
"244",593,0.17432
"245",594,0.17359
"246",595,0.17292
"247",596,0.17231
"248",597,0.17173
"249",598,0.17119
"250",599,0.17061
"251",600,0.1699
"252",601,0.16927
"253",602,0.1686
"254",603,0.16784
"255",604,0.16719
"256",605,0.16643
"257",606,0.16553
