"","Wavelength","Reflectance"
"1",350,0.21951
"2",351,0.21617
"3",352,0.21336
"4",353,0.20541
"5",354,0.19598
"6",355,0.19168
"7",356,0.186
"8",357,0.17904
"9",358,0.17157
"10",359,0.1691
"11",360,0.1729
"12",361,0.17046
"13",362,0.16651
"14",363,0.16411
"15",364,0.16043
"16",365,0.15641
"17",366,0.15397
"18",367,0.14869
"19",368,0.14145
"20",369,0.13589
"21",370,0.13014
"22",371,0.12415
"23",372,0.12217
"24",373,0.12091
"25",374,0.11868
"26",375,0.11576
"27",376,0.11314
"28",377,0.11183
"29",378,0.11146
"30",379,0.11161
"31",380,0.11143
"32",381,0.11063
"33",382,0.10924
"34",383,0.10825
"35",384,0.1056
"36",385,0.10088
"37",386,0.09732
"38",387,0.09392
"39",388,0.09034
"40",389,0.08633
"41",390,0.08338
"42",391,0.08327
"43",392,0.0821
"44",393,0.08068
"45",394,0.08055
"46",395,0.08021
"47",396,0.07993
"48",397,0.08112
"49",398,0.0824
"50",399,0.08311
"51",400,0.0814
"52",401,0.08114
"53",402,0.08324
"54",403,0.0835
"55",404,0.08278
"56",405,0.08132
"57",406,0.08417
"58",407,0.08871
"59",408,0.09316
"60",409,0.0968
"61",410,0.09664
"62",411,0.08821
"63",412,0.0845
"64",413,0.08354
"65",414,0.08199
"66",415,0.08163
"67",416,0.08201
"68",417,0.08171
"69",418,0.0827
"70",419,0.08453
"71",420,0.08554
"72",421,0.0855
"73",422,0.08477
"74",423,0.08563
"75",424,0.08572
"76",425,0.08455
"77",426,0.08464
"78",427,0.08476
"79",428,0.0845
"80",429,0.08429
"81",430,0.08396
"82",431,0.08348
"83",432,0.08347
"84",433,0.08324
"85",434,0.08229
"86",435,0.08261
"87",436,0.08415
"88",437,0.08691
"89",438,0.08789
"90",439,0.0872
"91",440,0.08486
"92",441,0.08383
"93",442,0.08352
"94",443,0.08359
"95",444,0.08329
"96",445,0.08299
"97",446,0.08323
"98",447,0.08279
"99",448,0.08215
"100",449,0.08198
"101",450,0.08223
"102",451,0.08232
"103",452,0.08144
"104",453,0.0811
"105",454,0.08102
"106",455,0.08077
"107",456,0.0806
"108",457,0.08043
"109",458,0.08013
"110",459,0.08003
"111",460,0.08003
"112",461,0.07976
"113",462,0.07979
"114",463,0.08002
"115",464,0.08008
"116",465,0.07999
"117",466,0.07987
"118",467,0.08005
"119",468,0.07998
"120",469,0.07982
"121",470,0.07994
"122",471,0.07994
"123",472,0.07975
"124",473,0.07924
"125",474,0.07916
"126",475,0.07922
"127",476,0.07902
"128",477,0.07877
"129",478,0.07846
"130",479,0.07807
"131",480,0.07796
"132",481,0.07797
"133",482,0.07786
"134",483,0.07778
"135",484,0.07774
"136",485,0.07777
"137",486,0.07762
"138",487,0.07744
"139",488,0.07747
"140",489,0.07764
"141",490,0.07779
"142",491,0.07778
"143",492,0.07804
"144",493,0.07823
"145",494,0.07811
"146",495,0.07833
"147",496,0.07851
"148",497,0.07847
"149",498,0.07841
"150",499,0.07849
"151",500,0.07879
"152",501,0.07937
"153",502,0.07987
"154",503,0.08015
"155",504,0.08061
"156",505,0.08102
"157",506,0.08136
"158",507,0.08189
"159",508,0.08257
"160",509,0.08334
"161",510,0.08408
"162",511,0.08505
"163",512,0.0862
"164",513,0.08727
"165",514,0.08853
"166",515,0.09
"167",516,0.09171
"168",517,0.09336
"169",518,0.095
"170",519,0.09671
"171",520,0.09872
"172",521,0.1009
"173",522,0.1031
"174",523,0.10509
"175",524,0.10718
"176",525,0.10954
"177",526,0.11143
"178",527,0.11331
"179",528,0.11532
"180",529,0.11719
"181",530,0.11875
"182",531,0.12005
"183",532,0.12156
"184",533,0.12284
"185",534,0.12382
"186",535,0.12462
"187",536,0.12551
"188",537,0.12635
"189",538,0.12687
"190",539,0.12732
"191",540,0.12774
"192",541,0.12818
"193",542,0.12842
"194",543,0.12869
"195",544,0.12916
"196",545,0.12938
"197",546,0.12962
"198",547,0.12996
"199",548,0.13025
"200",549,0.13057
"201",550,0.13086
"202",551,0.131
"203",552,0.13093
"204",553,0.13071
"205",554,0.13046
"206",555,0.13009
"207",556,0.1296
"208",557,0.12903
"209",558,0.12841
"210",559,0.12761
"211",560,0.12661
"212",561,0.12572
"213",562,0.12482
"214",563,0.12383
"215",564,0.12251
"216",565,0.12122
"217",566,0.11995
"218",567,0.11858
"219",568,0.11699
"220",569,0.11546
"221",570,0.11426
"222",571,0.11267
"223",572,0.11104
"224",573,0.10955
"225",574,0.10815
"226",575,0.10684
"227",576,0.10562
"228",577,0.10441
"229",578,0.10335
"230",579,0.10239
"231",580,0.10141
"232",581,0.10047
"233",582,0.09961
"234",583,0.09886
"235",584,0.09815
"236",585,0.0975
"237",586,0.09689
"238",587,0.09631
"239",588,0.09575
"240",589,0.09524
"241",590,0.09484
"242",591,0.09451
"243",592,0.09424
"244",593,0.09405
"245",594,0.09389
"246",595,0.09361
"247",596,0.09325
"248",597,0.09303
"249",598,0.09278
"250",599,0.09253
"251",600,0.09232
"252",601,0.09201
"253",602,0.09174
"254",603,0.09154
"255",604,0.09123
"256",605,0.09087
"257",606,0.09047
"258",607,0.09002
"259",608,0.08955
"260",609,0.08907
"261",610,0.08858
"262",611,0.088
"263",612,0.0874
"264",613,0.08682
"265",614,0.08625
"266",615,0.0857
"267",616,0.08519
"268",617,0.08476
"269",618,0.08434
"270",619,0.08396
"271",620,0.08363
"272",621,0.08333
"273",622,0.08306
"274",623,0.08284
"275",624,0.08269
"276",625,0.08253
"277",626,0.08249
"278",627,0.08259
"279",628,0.08257
"280",629,0.08256
"281",630,0.08253
"282",631,0.08237
"283",632,0.08221
"284",633,0.08209
"285",634,0.082
"286",635,0.08172
"287",636,0.08141
"288",637,0.08112
"289",638,0.08094
"290",639,0.08058
"291",640,0.08017
"292",641,0.0798
"293",642,0.0794
"294",643,0.079
"295",644,0.07864
"296",645,0.07832
"297",646,0.078
"298",647,0.07766
"299",648,0.07734
"300",649,0.07714
"301",650,0.07696
"302",651,0.07679
"303",652,0.07662
"304",653,0.07639
"305",654,0.07624
"306",655,0.07614
"307",656,0.07596
"308",657,0.07583
"309",658,0.07571
"310",659,0.07558
"311",660,0.07532
"312",661,0.07513
"313",662,0.07499
"314",663,0.07489
"315",664,0.07486
"316",665,0.07488
"317",666,0.07494
"318",667,0.07506
"319",668,0.07524
"320",669,0.0754
"321",670,0.07558
"322",671,0.07592
"323",672,0.07631
"324",673,0.07668
"325",674,0.077
"326",675,0.07745
"327",676,0.07803
"328",677,0.07868
"329",678,0.07932
"330",679,0.07998
"331",680,0.08069
"332",681,0.08143
"333",682,0.08204
"334",683,0.0828
"335",684,0.08353
"336",685,0.08418
"337",686,0.08492
"338",687,0.08565
"339",688,0.08646
"340",689,0.08746
"341",690,0.08867
"342",691,0.09033
"343",692,0.09239
"344",693,0.09482
"345",694,0.09805
"346",695,0.10167
"347",696,0.1059
"348",697,0.11097
"349",698,0.11618
"350",699,0.12221
"351",700,0.12893
"352",701,0.13592
"353",702,0.14285
"354",703,0.1503
"355",704,0.15796
"356",705,0.16534
"357",706,0.17348
"358",707,0.18186
"359",708,0.19015
"360",709,0.19814
"361",710,0.20681
"362",711,0.21578
"363",712,0.22492
"364",713,0.23414
"365",714,0.24302
"366",715,0.25253
"367",716,0.26255
"368",717,0.27257
"369",718,0.28222
"370",719,0.2923
"371",720,0.30279
"372",721,0.31341
"373",722,0.32409
"374",723,0.33486
"375",724,0.34564
"376",725,0.3562
"377",726,0.36575
"378",727,0.37601
"379",728,0.38634
"380",729,0.39617
"381",730,0.40589
"382",731,0.41535
"383",732,0.42449
"384",733,0.43327
"385",734,0.44168
"386",735,0.44969
"387",736,0.45739
"388",737,0.46472
"389",738,0.47164
"390",739,0.47818
"391",740,0.48426
"392",741,0.48988
"393",742,0.49511
"394",743,0.50014
"395",744,0.50463
"396",745,0.50879
"397",746,0.5127
"398",747,0.51624
"399",748,0.51955
"400",749,0.52254
"401",750,0.52523
"402",751,0.52766
"403",752,0.52999
"404",753,0.53209
"405",754,0.53397
"406",755,0.53566
"407",756,0.53723
"408",757,0.53858
"409",758,0.53987
"410",759,0.54116
"411",760,0.54245
"412",761,0.54335
"413",762,0.54407
"414",763,0.54467
"415",764,0.54515
"416",765,0.54543
"417",766,0.54568
"418",767,0.54591
"419",768,0.54606
"420",769,0.54615
"421",770,0.54643
"422",771,0.54662
"423",772,0.5467
"424",773,0.54679
"425",774,0.54701
"426",775,0.54717
"427",776,0.54716
"428",777,0.54713
"429",778,0.54714
"430",779,0.54711
"431",780,0.54698
"432",781,0.54704
"433",782,0.54703
"434",783,0.54692
"435",784,0.54693
"436",785,0.54708
"437",786,0.54708
"438",787,0.54702
"439",788,0.54702
"440",789,0.54713
"441",790,0.54698
"442",791,0.54693
"443",792,0.54695
"444",793,0.547
"445",794,0.54702
"446",795,0.54691
"447",796,0.5471
"448",797,0.54698
"449",798,0.54675
"450",799,0.54683
"451",800,0.54707
"452",801,0.54713
"453",802,0.54711
"454",803,0.54706
"455",804,0.54704
"456",805,0.54712
"457",806,0.5473
"458",807,0.54728
"459",808,0.54733
"460",809,0.54743
"461",810,0.54734
"462",811,0.54691
"463",812,0.54689
"464",813,0.54687
"465",814,0.54682
"466",815,0.54687
"467",816,0.54713
"468",817,0.54705
"469",818,0.54716
"470",819,0.54711
"471",820,0.54698
"472",821,0.54694
"473",822,0.54687
"474",823,0.547
"475",824,0.54689
"476",825,0.5468
"477",826,0.54678
"478",827,0.54673
"479",828,0.54651
"480",829,0.54648
"481",830,0.54645
"482",831,0.54626
"483",832,0.54613
"484",833,0.54626
"485",834,0.54637
"486",835,0.54616
"487",836,0.54615
"488",837,0.54611
"489",838,0.54607
"490",839,0.54604
"491",840,0.54596
"492",841,0.54601
"493",842,0.54583
"494",843,0.54566
"495",844,0.54568
"496",845,0.54559
"497",846,0.54537
"498",847,0.54552
"499",848,0.54543
"500",849,0.54547
"501",850,0.54542
"502",851,0.54555
"503",852,0.54557
"504",853,0.54541
"505",854,0.54558
"506",855,0.54533
"507",856,0.54501
"508",857,0.54494
"509",858,0.545
"510",859,0.54504
"511",860,0.54502
"512",861,0.54498
"513",862,0.5449
"514",863,0.54481
"515",864,0.54463
"516",865,0.54484
"517",866,0.54485
"518",867,0.5447
"519",868,0.54479
"520",869,0.54502
"521",870,0.54478
"522",871,0.54467
"523",872,0.54473
"524",873,0.54463
"525",874,0.54436
"526",875,0.54399
"527",876,0.5437
"528",877,0.54357
"529",878,0.54352
"530",879,0.54367
"531",880,0.54345
"532",881,0.54332
"533",882,0.54314
"534",883,0.54318
"535",884,0.54314
"536",885,0.54308
"537",886,0.54312
"538",887,0.54288
"539",888,0.54334
"540",889,0.54329
"541",890,0.54287
"542",891,0.54306
"543",892,0.54296
"544",893,0.54275
"545",894,0.54264
"546",895,0.54267
"547",896,0.54255
"548",897,0.54238
"549",898,0.54272
"550",899,0.54233
"551",900,0.54241
"552",901,0.54228
"553",902,0.54245
"554",903,0.54214
"555",904,0.54211
"556",905,0.54195
"557",906,0.54217
"558",907,0.54214
"559",908,0.54183
"560",909,0.54195
"561",910,0.54165
"562",911,0.54097
"563",912,0.54082
"564",913,0.54107
"565",914,0.5407
"566",915,0.54063
"567",916,0.54016
"568",917,0.54053
"569",918,0.54046
"570",919,0.54039
"571",920,0.53983
"572",921,0.53973
"573",922,0.53968
"574",923,0.53938
"575",924,0.53897
"576",925,0.53855
"577",926,0.53841
"578",927,0.53841
"579",928,0.53828
"580",929,0.53792
"581",930,0.53765
"582",931,0.53699
"583",932,0.53714
"584",933,0.53641
"585",934,0.536
"586",935,0.53553
"587",936,0.53552
"588",937,0.53503
"589",938,0.53453
"590",939,0.53422
"591",940,0.53333
"592",941,0.53311
"593",942,0.53271
"594",943,0.53205
"595",944,0.53169
"596",945,0.53076
"597",946,0.52984
"598",947,0.52915
"599",948,0.52875
"600",949,0.52795
"601",950,0.52697
"602",951,0.5266
"603",952,0.52543
"604",953,0.52511
"605",954,0.52368
"606",955,0.52193
"607",956,0.52228
"608",957,0.52026
"609",958,0.52064
"610",959,0.51945
"611",960,0.51944
"612",961,0.51879
"613",962,0.51848
"614",963,0.51771
"615",964,0.51764
"616",965,0.5169
"617",966,0.51699
"618",967,0.51728
"619",968,0.51653
"620",969,0.51726
"621",970,0.51678
"622",971,0.5171
"623",972,0.51702
"624",973,0.51694
"625",974,0.5169
"626",975,0.51693
"627",976,0.51623
"628",977,0.51636
"629",978,0.51743
"630",979,0.51644
"631",980,0.51676
"632",981,0.51594
"633",982,0.51558
"634",983,0.51594
"635",984,0.51535
"636",985,0.5153
"637",986,0.51642
"638",987,0.51676
"639",988,0.51754
"640",989,0.51867
"641",990,0.51953
"642",991,0.521
"643",992,0.52228
"644",993,0.52403
"645",994,0.52622
"646",995,0.52861
"647",996,0.53062
"648",997,0.53291
"649",998,0.5341
"650",999,0.53549
"651",1000,0.53688
"652",1001,0.53828
"653",1002,0.53946
"654",1003,0.54058
"655",1004,0.54166
"656",1005,0.54273
"657",1006,0.54385
"658",1007,0.54499
"659",1008,0.54608
"660",1009,0.54704
"661",1010,0.54785
"662",1011,0.54854
"663",1012,0.54915
"664",1013,0.54972
"665",1014,0.55023
"666",1015,0.55068
"667",1016,0.5511
"668",1017,0.55156
"669",1018,0.55206
"670",1019,0.55257
"671",1020,0.55308
"672",1021,0.55356
"673",1022,0.55401
"674",1023,0.55445
"675",1024,0.55487
"676",1025,0.55526
"677",1026,0.55561
