"","Wavelength","Reflectance"
"1",350,0.18139
"2",351,0.18233
"3",352,0.17457
"4",353,0.16863
"5",354,0.16392
"6",355,0.15981
"7",356,0.15713
"8",357,0.15413
"9",358,0.1439
"10",359,0.13801
"11",360,0.13957
"12",361,0.13846
"13",362,0.13636
"14",363,0.13401
"15",364,0.13016
"16",365,0.12561
"17",366,0.1216
"18",367,0.1179
"19",368,0.11415
"20",369,0.10863
"21",370,0.10567
"22",371,0.10603
"23",372,0.10129
"24",373,0.09748
"25",374,0.09769
"26",375,0.09436
"27",376,0.09179
"28",377,0.09441
"29",378,0.09422
"30",379,0.09292
"31",380,0.09648
"32",381,0.09597
"33",382,0.09127
"34",383,0.0884
"35",384,0.08738
"36",385,0.08788
"37",386,0.08276
"38",387,0.07701
"39",388,0.07315
"40",389,0.06988
"41",390,0.06728
"42",391,0.06538
"43",392,0.06635
"44",393,0.06816
"45",394,0.06721
"46",395,0.06653
"47",396,0.06663
"48",397,0.06862
"49",398,0.06971
"50",399,0.0696
"51",400,0.06989
"52",401,0.07118
"53",402,0.0734
"54",403,0.07265
"55",404,0.07197
"56",405,0.07295
"57",406,0.07452
"58",407,0.07722
"59",408,0.08144
"60",409,0.08482
"61",410,0.08516
"62",411,0.07919
"63",412,0.07474
"64",413,0.0719
"65",414,0.07087
"66",415,0.07111
"67",416,0.07194
"68",417,0.07213
"69",418,0.07217
"70",419,0.0722
"71",420,0.07255
"72",421,0.07264
"73",422,0.07253
"74",423,0.07332
"75",424,0.07363
"76",425,0.07311
"77",426,0.07317
"78",427,0.07251
"79",428,0.07083
"80",429,0.07004
"81",430,0.06952
"82",431,0.06912
"83",432,0.06894
"84",433,0.06877
"85",434,0.06841
"86",435,0.06854
"87",436,0.06924
"88",437,0.07059
"89",438,0.07155
"90",439,0.0718
"91",440,0.07104
"92",441,0.06979
"93",442,0.06868
"94",443,0.06845
"95",444,0.06809
"96",445,0.06763
"97",446,0.06712
"98",447,0.06691
"99",448,0.0669
"100",449,0.06699
"101",450,0.06697
"102",451,0.06666
"103",452,0.06582
"104",453,0.0654
"105",454,0.06524
"106",455,0.06508
"107",456,0.06493
"108",457,0.06475
"109",458,0.06448
"110",459,0.06411
"111",460,0.06374
"112",461,0.06366
"113",462,0.06342
"114",463,0.0631
"115",464,0.06299
"116",465,0.06302
"117",466,0.06312
"118",467,0.06308
"119",468,0.06299
"120",469,0.06289
"121",470,0.0628
"122",471,0.06265
"123",472,0.06248
"124",473,0.06236
"125",474,0.06227
"126",475,0.06217
"127",476,0.06202
"128",477,0.06172
"129",478,0.06135
"130",479,0.06102
"131",480,0.06084
"132",481,0.06069
"133",482,0.06036
"134",483,0.06032
"135",484,0.06032
"136",485,0.05996
"137",486,0.05981
"138",487,0.05975
"139",488,0.0596
"140",489,0.05952
"141",490,0.05948
"142",491,0.05944
"143",492,0.05946
"144",493,0.05949
"145",494,0.05946
"146",495,0.05944
"147",496,0.05949
"148",497,0.05963
"149",498,0.0596
"150",499,0.05964
"151",500,0.05984
"152",501,0.05993
"153",502,0.06009
"154",503,0.06038
"155",504,0.06058
"156",505,0.06089
"157",506,0.06134
"158",507,0.06181
"159",508,0.0623
"160",509,0.06283
"161",510,0.06348
"162",511,0.06436
"163",512,0.06538
"164",513,0.0663
"165",514,0.06742
"166",515,0.06871
"167",516,0.07008
"168",517,0.07152
"169",518,0.07307
"170",519,0.0748
"171",520,0.07674
"172",521,0.0787
"173",522,0.08047
"174",523,0.08248
"175",524,0.08459
"176",525,0.0867
"177",526,0.08861
"178",527,0.09041
"179",528,0.09211
"180",529,0.09394
"181",530,0.09552
"182",531,0.09681
"183",532,0.09809
"184",533,0.09937
"185",534,0.10058
"186",535,0.10142
"187",536,0.10205
"188",537,0.10258
"189",538,0.10317
"190",539,0.10362
"191",540,0.10399
"192",541,0.10443
"193",542,0.10475
"194",543,0.10503
"195",544,0.1053
"196",545,0.1055
"197",546,0.1057
"198",547,0.10594
"199",548,0.10609
"200",549,0.10627
"201",550,0.10647
"202",551,0.1066
"203",552,0.10674
"204",553,0.10677
"205",554,0.10653
"206",555,0.10609
"207",556,0.10553
"208",557,0.10491
"209",558,0.10405
"210",559,0.1031
"211",560,0.10214
"212",561,0.101
"213",562,0.09987
"214",563,0.09877
"215",564,0.0975
"216",565,0.09605
"217",566,0.09453
"218",567,0.09308
"219",568,0.09148
"220",569,0.08987
"221",570,0.08843
"222",571,0.08681
"223",572,0.08518
"224",573,0.08365
"225",574,0.08224
"226",575,0.08087
"227",576,0.07956
"228",577,0.07839
"229",578,0.07726
"230",579,0.07617
"231",580,0.07511
"232",581,0.07412
"233",582,0.07327
"234",583,0.07256
"235",584,0.07171
"236",585,0.07094
"237",586,0.0703
"238",587,0.06956
"239",588,0.06894
"240",589,0.06839
"241",590,0.06779
"242",591,0.06735
"243",592,0.06696
"244",593,0.06655
"245",594,0.06615
"246",595,0.0658
"247",596,0.06551
"248",597,0.06536
"249",598,0.06509
"250",599,0.06474
"251",600,0.06436
"252",601,0.06403
"253",602,0.06371
"254",603,0.06336
"255",604,0.06295
"256",605,0.06252
"257",606,0.06209
"258",607,0.06162
"259",608,0.06112
"260",609,0.06058
"261",610,0.05999
"262",611,0.05939
"263",612,0.05878
"264",613,0.05817
"265",614,0.05769
"266",615,0.05708
"267",616,0.0564
"268",617,0.05582
"269",618,0.05542
"270",619,0.05505
"271",620,0.05464
"272",621,0.05435
"273",622,0.05402
"274",623,0.05368
"275",624,0.05343
"276",625,0.05325
"277",626,0.05309
"278",627,0.05293
"279",628,0.05283
"280",629,0.05269
"281",630,0.05253
"282",631,0.05244
"283",632,0.05235
"284",633,0.05221
"285",634,0.05198
"286",635,0.05169
"287",636,0.05132
"288",637,0.05091
"289",638,0.05053
"290",639,0.0501
"291",640,0.0497
"292",641,0.04933
"293",642,0.0489
"294",643,0.04847
"295",644,0.04803
"296",645,0.04761
"297",646,0.04716
"298",647,0.0468
"299",648,0.04654
"300",649,0.04627
"301",650,0.04601
"302",651,0.04576
"303",652,0.04556
"304",653,0.04539
"305",654,0.04523
"306",655,0.04504
"307",656,0.04475
"308",657,0.04457
"309",658,0.04439
"310",659,0.04417
"311",660,0.04394
"312",661,0.04375
"313",662,0.04362
"314",663,0.04353
"315",664,0.04343
"316",665,0.04337
"317",666,0.04336
"318",667,0.04336
"319",668,0.04346
"320",669,0.04358
"321",670,0.04367
"322",671,0.04378
"323",672,0.04394
"324",673,0.04416
"325",674,0.04439
"326",675,0.04468
"327",676,0.04495
"328",677,0.04525
"329",678,0.04565
"330",679,0.04609
"331",680,0.04653
"332",681,0.04696
"333",682,0.04742
"334",683,0.04791
"335",684,0.04844
"336",685,0.04896
"337",686,0.04941
"338",687,0.05003
"339",688,0.05081
"340",689,0.05178
"341",690,0.05306
"342",691,0.05476
"343",692,0.05687
"344",693,0.0594
"345",694,0.06277
"346",695,0.06651
"347",696,0.07083
"348",697,0.07602
"349",698,0.08134
"350",699,0.08745
"351",700,0.09424
"352",701,0.10131
"353",702,0.10818
"354",703,0.11564
"355",704,0.12333
"356",705,0.13066
"357",706,0.13852
"358",707,0.14667
"359",708,0.15474
"360",709,0.16241
"361",710,0.17068
"362",711,0.17931
"363",712,0.18812
"364",713,0.19688
"365",714,0.20526
"366",715,0.21405
"367",716,0.22327
"368",717,0.23261
"369",718,0.24119
"370",719,0.25033
"371",720,0.25996
"372",721,0.26966
"373",722,0.27928
"374",723,0.28864
"375",724,0.29795
"376",725,0.30722
"377",726,0.31572
"378",727,0.32452
"379",728,0.33333
"380",729,0.34185
"381",730,0.35018
"382",731,0.35818
"383",732,0.36589
"384",733,0.37331
"385",734,0.38045
"386",735,0.38718
"387",736,0.39346
"388",737,0.39946
"389",738,0.40532
"390",739,0.41041
"391",740,0.41542
"392",741,0.42006
"393",742,0.42421
"394",743,0.42847
"395",744,0.43214
"396",745,0.43563
"397",746,0.43898
"398",747,0.44191
"399",748,0.44465
"400",749,0.44711
"401",750,0.44936
"402",751,0.45146
"403",752,0.45318
"404",753,0.4549
"405",754,0.45646
"406",755,0.45777
"407",756,0.45898
"408",757,0.4599
"409",758,0.46055
"410",759,0.46109
"411",760,0.46171
"412",761,0.46243
"413",762,0.4629
"414",763,0.46342
"415",764,0.46401
"416",765,0.46441
"417",766,0.46485
"418",767,0.46512
"419",768,0.46531
"420",769,0.46552
"421",770,0.46573
"422",771,0.46565
"423",772,0.46568
"424",773,0.46577
"425",774,0.4658
"426",775,0.46578
"427",776,0.4658
"428",777,0.46578
"429",778,0.46572
"430",779,0.46568
"431",780,0.46553
"432",781,0.46549
"433",782,0.46556
"434",783,0.4656
"435",784,0.46542
"436",785,0.46522
"437",786,0.46522
"438",787,0.46529
"439",788,0.46535
"440",789,0.46537
"441",790,0.4652
"442",791,0.46499
"443",792,0.46494
"444",793,0.465
"445",794,0.46492
"446",795,0.46473
"447",796,0.46479
"448",797,0.46461
"449",798,0.46439
"450",799,0.46439
"451",800,0.46421
"452",801,0.46432
"453",802,0.46418
"454",803,0.46399
"455",804,0.46395
"456",805,0.46384
"457",806,0.4639
"458",807,0.46369
"459",808,0.46351
"460",809,0.46355
"461",810,0.46368
"462",811,0.4634
"463",812,0.46347
"464",813,0.46347
"465",814,0.46337
"466",815,0.46331
"467",816,0.46353
"468",817,0.46338
"469",818,0.46323
"470",819,0.46309
"471",820,0.46298
"472",821,0.46293
"473",822,0.46293
"474",823,0.46284
"475",824,0.46279
"476",825,0.46269
"477",826,0.46257
"478",827,0.46248
"479",828,0.46233
"480",829,0.46211
"481",830,0.46195
"482",831,0.46199
"483",832,0.462
"484",833,0.46184
"485",834,0.46193
"486",835,0.46171
"487",836,0.46173
"488",837,0.46165
"489",838,0.46156
"490",839,0.46149
"491",840,0.46136
"492",841,0.46135
"493",842,0.46145
"494",843,0.46135
"495",844,0.46127
"496",845,0.46121
"497",846,0.46111
"498",847,0.46111
"499",848,0.46128
"500",849,0.46097
"501",850,0.46083
"502",851,0.46071
"503",852,0.46075
"504",853,0.46084
"505",854,0.46052
"506",855,0.46055
"507",856,0.46056
"508",857,0.4604
"509",858,0.46041
"510",859,0.46036
"511",860,0.46017
"512",861,0.46008
"513",862,0.4598
"514",863,0.45981
"515",864,0.45971
"516",865,0.45954
"517",866,0.45949
"518",867,0.45958
"519",868,0.45952
"520",869,0.45918
